timestep,cog_x,cog_y,dm_mean,dm_max,dm_min
0,127.33196310638309,127.50192848337916,0.0,0.0,0.0
1,127.35784806748907,127.55520433506435,3.024434386401333e-10,7.002496494213324e-09,-6.996103594857711e-09
2,127.42605972469087,127.71394166031871,4.1691643554075215e-10,9.971462119054268e-09,-1.8255303539066734e-08
3,127.46859636609067,127.68763054488187,7.059748454087804e-10,1.7061077983158075e-08,-1.853633588078752e-08
4,127.47974483132026,127.38880378134118,1.057066622697495e-09,2.5460281895812428e-08,-3.9468861515683736e-08
5,127.44172414943039,127.62926888081122,1.1263173763854499e-09,3.236169890431416e-08,-4.196332035444734e-08
6,127.6175312271142,127.59617285404813,1.4380235124021131e-09,3.267766630827292e-08,-5.2307176304032083e-08
7,127.6048429161303,127.30054446834042,1.1316565846880811e-09,2.478474314462402e-08,-6.069113747959579e-08
8,127.39843316392952,127.42112747743485,1.536612095219093e-09,3.275968473810569e-08,-6.03442396470955e-08
9,127.51682577626848,127.53095070765727,1.6786159580916862e-09,2.9537260484964974e-08,-6.015774507043859e-08
10,127.3890996293874,127.390951409995,1.9573913575299943e-09,3.896753622427027e-08,-6.000721732959391e-08
11,127.55685552983017,127.54687744922948,8.360071920733036e-10,3.6362507906776846e-08,-5.895926540666416e-08
12,127.50171801023878,127.50012702241497,2.0652926977419971e-10,3.3977697407361154e-08,-5.006873670728045e-08
13,127.59376251758881,127.44512802604686,-2.9854814676905403e-10,3.4802479459476463e-08,-4.782576085461803e-08
14,127.48581701342462,127.43278319137087,-5.70997283196926e-10,3.709803125356748e-08,-4.7907052313366546e-08
15,127.62436745815492,127.72178146319477,-1.4367063152194067e-10,4.164553421072289e-08,-5.214873184276638e-08
16,127.39382998406744,127.52382176080587,-9.878035801030171e-11,4.065911053471696e-08,-6.087127351847093e-08
17,127.25912921528032,127.4328434220258,2.011893431900892e-10,3.850996060041545e-08,-6.80541916129476e-08
18,127.41122933746499,127.48932115043249,8.70746477543569e-10,4.8887573344029665e-08,-7.202690104295272e-08
19,127.34784800409416,127.53999488229273,2.1292268561588476e-10,4.4239450320750004e-08,-8.089550291607813e-08
20,127.54575248813588,127.69342373645748,6.660177763640004e-10,5.084736707231128e-08,-7.569404407858939e-08
21,127.4753898284137,127.5772318577873,1.3687818887938363e-09,5.342720992499937e-08,-7.653853099406771e-08
22,127.41664252365801,127.50086530252258,2.4948499397306188e-09,5.9540230182967365e-08,-8.139610492278595e-08
23,127.63354265293339,127.54095338830754,3.0998358641947355e-09,6.678859828987937e-08,-8.654751698009594e-08
24,127.74811792779617,127.43383624560593,3.024429895146461e-09,6.457421119370097e-08,-8.847745049617305e-08
25,127.55432336085454,127.47189064749679,3.032607223160752e-09,7.006715092642696e-08,-9.400649391904389e-08
26,127.52539515982133,127.49821308998176,3.5506363117897884e-09,7.644924825498639e-08,-9.478313229521593e-08
27,127.46040843738224,127.52124084578887,3.2575237724789343e-09,7.66829672647557e-08,-1.0791767904951845e-07
28,127.55908194507325,127.52222111383094,3.7209431043382334e-09,8.708210484381673e-08,-1.0420449326803325e-07
29,127.55558142033449,127.57938412266385,4.368672799619969e-09,8.94744638352658e-08,-1.0107485392844324e-07
30,127.43080998194797,127.37873348650201,4.7077456644143954e-09,9.126329330333493e-08,-1.1496496440402505e-07
31,127.37758161311355,127.5240976225801,4.189895755301623e-09,9.017729062287937e-08,-1.288260789811925e-07
32,127.48753494694243,127.61103216405884,4.798971502257298e-09,8.884800003473619e-08,-1.309995776588705e-07
33,127.47258885593178,127.40655116849527,4.651599896322435e-09,9.247006699946207e-08,-1.3584942518812212e-07
34,127.42368323632849,127.48185015321967,4.856963040151009e-09,9.388585595062262e-08,-1.412876541248137e-07
35,127.5432685783346,127.60193727291582,4.104121909276425e-09,8.71331555784212e-08,-1.662820005690542e-07
36,127.4462773961735,127.46171957374062,4.603177626608005e-09,8.67458595972269e-08,-1.790134272641064e-07
37,127.53128375102295,127.59021864890727,4.549446349329182e-09,9.378785195206462e-08,-1.9582155314642832e-07
38,127.36706531974782,127.43448396193253,4.73413100366418e-09,9.778476740121772e-08,-2.045860656990682e-07
39,127.42524573865093,127.39415813371872,4.8796742271574166e-09,1.0362875682785826e-07,-2.0600084383645756e-07
40,127.68020056946116,127.59776477505257,4.637187037793718e-09,9.75193802414129e-08,-2.207459508076814e-07
41,127.3579158183021,127.51519106793926,4.375467626676472e-09,9.385357759842145e-08,-2.2845291769839985e-07
42,127.48554754777331,127.60604701468056,4.201037226945445e-09,9.504502086926295e-08,-2.351687466795927e-07
43,127.49828628851364,127.63992832404912,4.335130132223993e-09,9.364591487192111e-08,-2.3570417003510688e-07
44,127.3890777806838,127.46645076590922,4.564767783099123e-09,9.528785581183943e-08,-2.461029821901372e-07
45,127.22383790897871,127.58898567646321,4.870654336169968e-09,1.0487581640287178e-07,-2.645308270488564e-07
46,127.61192227551956,127.43574986961136,5.640158044015946e-09,1.1038489644545428e-07,-2.7819255721114593e-07
47,127.77569628689712,127.50765563117622,6.228482968214264e-09,1.1557560897604713e-07,-2.863574631289942e-07
48,127.51199989757903,127.47557387753012,6.759830570836152e-09,1.150489420419271e-07,-2.883670284967874e-07
49,127.4945267950192,127.41195117517073,7.111525809146298e-09,1.1490658529784844e-07,-2.9374430534988404e-07
