timestep,power_in_focal,power_send
0,110581874.58046788,390000000.0
1,113388033.07610038,390000000.0
2,116124875.92140615,390000000.0
3,118830556.22776791,390000000.0
4,121379863.72767535,390000000.0
5,123823339.33766937,390000000.0
6,126177219.36226767,390000000.0
7,128400008.41723692,390000000.0
8,130577061.35290012,390000000.0
9,132663115.20258915,390000000.0
10,134669588.83190748,390000000.0
11,136546696.5703455,390000000.0
12,138358024.5481113,390000000.0
13,140126636.88005784,390000000.0
14,141751349.96335024,390000000.0
15,143278414.79473957,390000000.0
16,144716283.03790656,390000000.0
17,146070069.39533207,390000000.0
18,147267515.497372,390000000.0
19,148446142.2707985,390000000.0
20,149485883.3534302,390000000.0
21,150445086.844484,390000000.0
22,151316478.13527414,390000000.0
23,152130890.78427157,390000000.0
24,152947875.78928488,390000000.0
25,153652303.7212827,390000000.0
26,154281696.22975093,390000000.0
27,154835597.3045731,390000000.0
28,155325594.37524444,390000000.0
29,155738255.6884871,390000000.0
30,156123927.37156078,390000000.0
31,156473594.64750567,390000000.0
32,156792572.98327845,390000000.0
33,157128250.7471465,390000000.0
34,157468588.83732307,390000000.0
35,157817722.242915,390000000.0
36,158173164.01856107,390000000.0
37,158542061.88458687,390000000.0
38,158843848.36438796,390000000.0
39,159074640.40729827,390000000.0
40,159313827.69149077,390000000.0
41,159553338.9103559,390000000.0
42,159785289.71254933,390000000.0
43,160009705.14871764,390000000.0
44,160285572.31096447,390000000.0
45,160563219.95560265,390000000.0
46,160884646.15262392,390000000.0
47,161238076.67514306,390000000.0
48,161633284.84670067,390000000.0
49,162038457.76220188,390000000.0
