timestep,cog_x,cog_y,dm_mean,dm_max,dm_min,dm_rms_before,dm_rms_after,slopes_residual_rms,modal_cmd_rms
0,23.0,119.0,-1.3780946994667826e-10,3.699747104069576e-10,-3.5412756885634214e-09,0.0,7.054893819966569e-10,7.339178112635558e-08,4.409308637479105e-09
1,0.0,0.0,-2.7431194767393737e-10,7.347708535254644e-10,-6.963932112011601e-09,7.054893819966569e-10,1.3898663331874095e-09,7.16682575980883e-08,4.366742298244345e-09
2,103.0,6.0,-4.080843758466514e-10,1.0922710737816011e-09,-1.0318135406990816e-08,1.3898663331874095e-09,2.060684644982905e-09,7.16682575980883e-08,4.366742298244345e-09
3,0.0,0.0,-5.391813554559111e-10,1.442621289632615e-09,-1.3605254636070448e-08,2.060684644982905e-09,2.7181187188581332e-09,7.16682575980883e-08,4.366742298244345e-09
4,0.0,0.0,-6.676563954729855e-10,1.7859645011666087e-09,-1.6826631480568488e-08,2.7181187188581332e-09,3.362416865575315e-09,7.16682575980883e-08,4.366742298244345e-09
5,0.0,0.0,-7.935619346897186e-10,2.1224408484699225e-09,-1.9983580788176566e-08,3.362416865575315e-09,3.993835369543147e-09,7.16682575980883e-08,4.366742298244345e-09
6,0.0,0.0,-9.169493631221168e-10,2.45218766882717e-09,-2.307739110963248e-08,3.993835369543147e-09,4.6126290802878465e-09,7.16682575980883e-08,4.366742298244345e-09
7,0.0,0.0,-1.0378690429858672e-09,2.775339552777273e-09,-2.610932522465928e-08,4.6126290802878465e-09,5.219049129981981e-09,7.16682575980883e-08,4.366742298244345e-09
8,0.0,0.0,-1.1563703292523427e-09,3.0920283990483734e-09,-2.908062065738554e-08,5.219049129981981e-09,5.813342238941639e-09,7.16682575980883e-08,4.366742298244345e-09
9,24.0,55.0,-1.2725015897934883e-09,3.402383468394052e-09,-3.199249018145728e-08,5.813342238941639e-09,6.395750497159827e-09,7.16682575980883e-08,4.366742298244345e-09
10,0.0,0.0,-1.3863102251238112e-09,3.706531436352817e-09,-3.484612231504758e-08,6.395750497159827e-09,6.966511317938688e-09,7.16682575980883e-08,4.366742298244345e-09
11,0.0,0.0,-1.497842687747528e-09,4.004596444952406e-09,-3.764268180596607e-08,6.966511317938688e-09,7.525857462172175e-09,7.16682575980883e-08,4.366742298244345e-09
12,0.0,0.0,-1.60714450111877e-09,4.296700153380005e-09,-4.0383310107066193e-08,7.525857462172175e-09,8.074017094238628e-09,7.16682575980883e-08,4.366742298244345e-09
13,0.0,0.0,-1.714260278222587e-09,4.58296178763905e-09,-4.3069125842144313e-08,8.074017094238628e-09,8.611213852778202e-09,7.16682575980883e-08,4.366742298244345e-09
14,108.0,43.0,-1.8236321636460134e-09,4.8478658354147305e-09,-4.5775841834325155e-08,8.611213852778202e-09,9.157549891661767e-09,7.991032830216374e-08,4.493667210891054e-09
