timestep,E_power_sum,D_power_sum,num_airy,r0_ref
0,91179830.75900139,91179830.75900139,2,0.01
20,95264141.12308729,310994806.45458245,2,0.01
40,98154115.82161492,309610799.3167597,2,0.01
60,96921022.02316615,308005393.6716783,2,0.01
80,93964960.65833858,305762108.25117695,2,0.01
100,92729970.91769814,304880502.99661267,2,0.01
120,95061892.62460434,303235559.7487401,2,0.01
140,99722332.1516147,302639001.208815,2,0.01
160,104669931.73610812,303295032.83271927,2,0.01
180,106056144.78929743,303306910.1298043,2,0.01
200,110763956.14941716,305120817.5010853,2,0.01
220,114598443.89437614,307606481.41122097,2,0.01
240,114947329.87149988,307732044.1539774,2,0.01
260,119386153.04730484,308451240.70241815,2,0.01
280,123947273.6017447,308992569.45948124,2,0.01
300,129378387.69475034,308610610.95792305,2,0.01
320,129646637.79348472,304970403.94221663,2,0.01
340,122799972.95793432,304798311.44808483,2,0.01
360,112737457.89475094,303392408.37661767,2,0.01
380,106006640.79072969,300523333.9008236,2,0.01
400,99536192.88159513,301461722.8209864,2,0.01
420,90460151.60119775,305076245.41151583,2,0.01
440,86757974.7923544,305763541.0059916,2,0.01
460,90304143.79195382,307791563.94830394,2,0.01
480,96914499.2901426,308796358.0107853,2,0.01
500,103481242.9336204,308299909.04939425,2,0.01
520,106904491.33508278,310101366.1271255,2,0.01
540,112548634.88180773,310663858.34743494,2,0.01
560,124895741.45356084,309687897.30684984,2,0.01
580,136812347.8893209,310362462.71303797,2,0.01
600,141274760.08736932,309743856.26884925,2,0.01
620,139940542.38567996,308623089.3129767,2,0.01
640,131485868.59568647,308243559.08428025,2,0.01
660,117483523.34394914,308782317.1637263,2,0.01
680,101241196.41282095,306330835.125742,2,0.01
700,89154894.75982432,306833090.2200371,2,0.01
720,86076026.94576311,308737820.95788735,2,0.01
740,91933777.50058067,306835482.1264438,2,0.01
760,101540655.50970837,308343547.13423014,2,0.01
780,113460588.40705934,309306008.9534206,2,0.01
0,56766812.44205293,56766812.44205293,2,0.011
20,59141429.553549446,301133347.41161096,2,0.011
40,59548573.46005218,302487701.5394932,2,0.011
60,54966424.97831863,301816837.2302555,2,0.011
80,47565971.77131645,302638218.54479337,2,0.011
100,39400936.97585651,302513433.66923904,2,0.011
120,34365771.50091383,303555569.335888,2,0.011
140,32950067.809388187,302155049.5640464,2,0.011
160,32989390.556749944,302242889.0994893,2,0.011
180,37084913.145204514,303099047.86285317,2,0.011
200,43883767.24531215,304619738.08303237,2,0.011
220,51941605.301927425,307195689.2991912,2,0.011
240,58067689.31764002,309506295.79708517,2,0.011
260,58413197.51046704,307188472.41651344,2,0.011
280,62511897.7551294,307398420.1704712,2,0.011
300,70421239.71903001,305621375.6496537,2,0.011
320,73440283.09430486,303789102.7780255,2,0.011
340,72803053.11017546,303650364.7315155,2,0.011
360,71824058.80662093,304933256.2504705,2,0.011
380,67376521.23890774,304364986.3618741,2,0.011
400,61039349.778846264,303683741.89144987,2,0.011
420,59404461.112241164,304438389.6151879,2,0.011
440,62505559.56894216,303465421.5029651,2,0.011
460,66152670.76293677,305976755.2259215,2,0.011
480,68890946.01853417,306715859.1123172,2,0.011
500,74374763.39517327,307467862.7035171,2,0.011
520,81421911.29535313,305601902.363795,2,0.011
540,84638183.6524827,304655423.1176173,2,0.011
560,80934321.08855563,305238468.5895282,2,0.011
580,71342017.58594826,302418395.0610049,2,0.011
600,63637231.95787512,301260946.53065103,2,0.011
620,60826947.68275171,300318262.77077985,2,0.011
640,65698224.49201658,302712949.9998266,2,0.011
660,72591108.0847927,303946615.3891652,2,0.011
680,83850740.85653782,306314360.2578038,2,0.011
700,94881661.12139505,306816139.0376427,2,0.011
720,98063605.28812742,303797814.38312536,2,0.011
740,99343110.4662945,303149664.62844473,2,0.011
760,95957135.19556661,300120426.29406273,2,0.011
780,89997863.16591099,299238871.1962526,2,0.011
0,132601714.78803046,132601714.78803046,2,0.012
20,134495434.9163746,311024749.6703586,2,0.012
40,134275758.86153448,310116216.9938543,2,0.012
60,132136435.65241429,310158303.1740128,2,0.012
80,134225053.518486,309537584.1772213,2,0.012
100,132748601.15874463,308813609.3879391,2,0.012
120,125773672.12535925,306998541.78324205,2,0.012
140,119805901.89344612,309819368.0439572,2,0.012
160,114778426.23839182,309376080.57284474,2,0.012
180,112331953.81692721,308625028.26667607,2,0.012
200,111182126.01141882,307713195.3596007,2,0.012
220,112922557.57412001,307011199.2070452,2,0.012
240,110128700.33907524,306964755.8336042,2,0.012
260,102724502.03350812,305536260.73420453,2,0.012
280,95397824.26185165,303597341.7537196,2,0.012
300,89876766.22685371,302570109.82696533,2,0.012
320,83413376.73686253,300995884.71785367,2,0.012
340,72475030.4091745,302101189.8336543,2,0.012
360,65075062.28555425,301721610.42369986,2,0.012
380,61898153.555652276,304312120.3928884,2,0.012
400,63622874.22460822,304684184.87376654,2,0.012
420,74684241.78243864,304816791.3076135,2,0.012
440,89209778.02457884,304556753.30739737,2,0.012
460,99494713.60177182,303077635.4916204,2,0.012
480,103805198.5486891,304818740.0331186,2,0.012
500,102098279.12696795,305789001.2335046,2,0.012
520,101776509.69733313,307697858.3812562,2,0.012
540,107517989.7170215,308765512.23886514,2,0.012
560,117931269.66296867,310280050.326918,2,0.012
580,124911947.26330423,311856367.9272084,2,0.012
600,125145314.45281266,311078137.918326,2,0.012
620,121266050.78534949,309440967.2057642,2,0.012
640,109001317.27712914,310027403.4110842,2,0.012
660,92274827.81406853,310490994.5091132,2,0.012
680,75378861.98146144,310029615.49118876,2,0.012
700,63047089.5367786,310026283.66894656,2,0.012
720,58895359.74370365,310377156.5401236,2,0.012
740,65000238.08851938,309785662.21440744,2,0.012
760,75301530.80232874,310335041.6919118,2,0.012
780,86304776.54002014,310850908.36503714,2,0.012
0,157416378.52527648,157416378.52527648,2,0.013
20,173531240.08952358,313681709.8532703,2,0.013
40,186002542.96779042,313245686.47632724,2,0.013
60,191630301.733151,312918367.9106231,2,0.013
80,197503705.8386507,313821376.05223143,2,0.013
100,194239358.04975665,313536725.34142953,2,0.013
120,187036351.58881062,313107767.7066725,2,0.013
140,179324584.3737552,312956102.76470196,2,0.013
160,172461993.78273022,310634285.514748,2,0.013
180,171877560.28061196,310187133.4692915,2,0.013
200,179728213.05922455,310107071.2177534,2,0.013
220,183693141.75796354,310770692.6813411,2,0.013
240,184581197.08303976,309640863.3334397,2,0.013
260,189870842.32221395,310800916.57013977,2,0.013
280,191114526.2766844,312038195.2624935,2,0.013
