timestep,E_power_sum,D_power_sum,num_airy,r0_ref
0,322832460.2216184,322832460.2216184,5,0.017
20,324910151.8742724,337877064.3287843,5,0.017
40,325107618.8139818,339041836.82755655,5,0.017
60,322843824.18084,337684077.76950693,5,0.017
80,324175818.4752845,338089913.01031375,5,0.017
100,330076423.9386358,339713182.6888243,5,0.017
120,330662888.15628374,338749738.7864186,5,0.017
140,331156439.8165598,338041301.19878066,5,0.017
160,332983355.3537812,339361201.17493886,5,0.017
180,326842876.06230885,339139773.78858787,5,0.017
200,326360848.9501409,338118541.528971,5,0.017
220,314474019.178255,338635387.77021205,5,0.017
240,307978839.8497609,337360066.6948754,5,0.017
260,284543522.5252024,337902213.83631575,5,0.017
280,294138669.01214135,338508058.1382863,5,0.017
300,300829832.7798635,337830667.7342622,5,0.017
320,302444257.57064843,334656823.9601433,5,0.017
340,307981155.19943076,333707665.2155509,5,0.017
360,306700506.2374969,333978939.6414938,5,0.017
380,321565069.7179172,337104025.5568323,5,0.017
400,322032409.5436239,338462175.96702343,5,0.017
420,326407982.0634613,337832355.15393007,5,0.017
440,328284859.5477313,338751527.4944285,5,0.017
460,318082762.6245253,339989075.12563884,5,0.017
480,318162934.9379931,333407248.72904325,5,0.017
500,322231173.5012807,337574807.520917,5,0.017
520,329353585.7260735,338240078.0895239,5,0.017
540,328104930.3561593,336082937.11316776,5,0.017
560,333023297.84265476,337332121.5224459,5,0.017
580,330073315.4998049,337672331.977579,5,0.017
600,327316843.33863616,336472675.8892236,5,0.017
620,332785150.9966974,339445512.39034843,5,0.017
640,326397735.97557664,336755568.3995524,5,0.017
660,319539115.8271233,337131369.6506446,5,0.017
680,321053665.83567476,337677662.7307334,5,0.017
700,326062409.78765833,339419094.008139,5,0.017
720,328874973.5919088,340277033.96468294,5,0.017
740,330500890.18503106,338617047.8246676,5,0.017
760,320570233.88343894,338339299.6364178,5,0.017
780,320450552.50010663,339403644.0691,5,0.017
0,324222049.3817749,324222049.3817749,5,0.017
20,316876169.34007293,334061068.38151723,5,0.017
40,323492081.86841106,336505444.41394824,5,0.017
60,319900148.56481427,336073768.0490302,5,0.017
80,323539480.8140676,337133937.1685271,5,0.017
100,326102011.48268497,338728498.07113177,5,0.017
120,325185249.8144137,336967977.9269285,5,0.017
140,324919188.20923376,335987014.5120279,5,0.017
160,321997239.0418446,339195402.3848281,5,0.017
180,324993988.3435265,339564078.5126054,5,0.017
200,324963295.2057218,337607248.36448336,5,0.017
220,329820789.0456327,336694273.7162386,5,0.017
240,322171853.72814554,338177688.89957356,5,0.017
260,328406231.1602863,338467007.0275633,5,0.017
280,314530488.6897691,336957673.29982525,5,0.017
300,325579200.55031717,333823899.0524837,5,0.017
320,322782671.7437704,334741840.87740076,5,0.017
340,329175009.5905647,335481540.60659766,5,0.017
360,337220925.62795573,339816597.76679,5,0.017
380,335690629.41154015,341039313.30599356,5,0.017
400,335014297.9805483,341123650.97666806,5,0.017
420,333606210.94827116,339705604.483679,5,0.017
440,331883806.28818554,338668212.44773173,5,0.017
460,333525887.25400335,339794834.5601156,5,0.017
480,330378152.9337382,336081485.73242086,5,0.017
500,333993410.50009274,338222375.16533315,5,0.017
520,332248266.1769652,337465281.76099914,5,0.017
540,328926925.77833027,338209263.51086396,5,0.017
560,326207171.4767524,338650034.3736131,5,0.017
580,325333954.6819143,337762930.7273907,5,0.017
600,323184946.7181529,336950620.8933903,5,0.017
620,320156285.6444356,338039452.78097713,5,0.017
640,327412233.16830665,337107526.2184783,5,0.017
660,325106075.93303615,338167313.07991517,5,0.017
680,328520417.8375876,338402388.7467545,5,0.017
700,318710380.6196049,339215383.5491533,5,0.017
720,307856335.8353932,336914622.16879493,5,0.017
740,299324821.2426062,336087078.64363754,5,0.017
760,288325372.682198,336349485.088434,5,0.017
780,297991526.224242,333474568.3317332,5,0.017
0,326334076.5446654,326334076.5446654,5,0.017
20,316649071.14574456,337659947.1605444,5,0.017
40,311685284.1282803,335398884.6303508,5,0.017
60,308952832.8158218,337623856.723748,5,0.017
80,314296697.95353216,337792737.8120495,5,0.017
100,309660096.93294406,338090148.0291329,5,0.017
120,327792349.5074696,334928530.315338,5,0.017
140,332915123.66676426,336344419.7800373,5,0.017
160,324647205.0196901,335596580.52450645,5,0.017
180,321673770.2428147,333716712.57874465,5,0.017
200,321161924.5030021,335562329.8215313,5,0.017
220,328153615.70270747,337691355.90540564,5,0.017
240,317610880.05263245,335199944.08190894,5,0.017
260,321854951.166286,338402264.69692504,5,0.017
280,321884964.74017274,337472431.34950525,5,0.017
300,317323911.21699834,336488246.9742425,5,0.017
320,322513514.86217725,337820904.635445,5,0.017
340,319655684.59540164,337948805.79201305,5,0.017
360,326054604.346748,338825750.4554598,5,0.017
